{'nome': 'Levi da Cunha', 'email': 'levi.cunha@gmail.com', 'cpf': '863.052.791-95', 'celular': '(31) 9164-05374', 'idade': '86', 'data_nascimento': '10/05/1935', 'data_cadastro': '09/04/1969', 'status': 'válido'}
{'nome': 'Maria Fernanda Silva', 'email': 'maria.silva@gmail.com', 'cpf': '458.762.193-55', 'celular': '(61) 9381-40093', 'idade': '41', 'data_nascimento': '23/10/1980', 'data_cadastro': '16/08/1981', 'status': 'válido'}
{'nome': 'Gabriel Santos', 'email': 'gabriel.santos@gmail.com', 'cpf': '938.241.760-50', 'celular': '(71) 9093-23670', 'idade': '62', 'data_nascimento': '24/06/1959', 'data_cadastro': '21/11/2005', 'status': 'válido'}
{'nome': 'Mirella da Paz', 'email': 'mirella.paz@gmail.com', 'cpf': '154.920.637-07', 'celular': '(51) 9590-81482', 'idade': '58', 'data_nascimento': '24/08/1963', 'data_cadastro': '24/06/1980', 'status': 'válido'}
{'nome': 'Cecília Oliveira', 'email': 'cecilia.oliveira@gmail.com', 'cpf': '029.146.358-42', 'celular': '(84) 9458-85928', 'idade': '79', 'data_nascimento': '08/03/1942', 'data_cadastro': '14/07/1996', 'status': 'válido'}
{'nome': 'Alexia Correia Almeida', 'email': 'alexia.almeida@gmail.com', 'cpf': '362.978.104-78', 'celular': '(61) 9801-99596', 'idade': '35', 'data_nascimento': '12/08/1986', 'data_cadastro': '17/10/1999', 'status': 'válido'}
{'nome': 'Guilherme Melo', 'email': 'guilherme.melo@gmail.com', 'cpf': '259.670.481-11', 'celular': '(84) 9908-16527', 'idade': '58', 'data_nascimento': '06/10/1963', 'data_cadastro': '01/03/2019', 'status': 'válido'}
{'nome': 'Ana Carolina Sales', 'email': 'ana.sales@gmail.com', 'cpf': '041.925.876-02', 'celular': '(84) 9421-14469', 'idade': '34', 'data_nascimento': '05/02/1988', 'data_cadastro': '12/04/1988', 'status': 'válido'}
{'nome': 'Ryan Almeida', 'email': 'ryan.almeida@gmail.com', 'cpf': '684.502.791-94', 'celular': '(21) 9879-06946', 'idade': '31', 'data_nascimento': '13/04/1990', 'data_cadastro': '13/10/2008', 'status': 'válido'}
{'nome': 'Diego da Paz', 'email': 'diego.paz@gmail.com', 'cpf': '790.481.362-96', 'celular': '(11) 9013-97274', 'idade': '61', 'data_nascimento': '27/01/1961', 'data_cadastro': '16/05/1991', 'status': 'válido'}
{'nome': 'Isabelly Cunha Mendes', 'email': 'isabelly.mendes@gmail.com', 'cpf': '235.687.091-12', 'celular': '(84) 9078-08739', 'idade': '21', 'data_nascimento': '17/08/2000', 'data_cadastro': '21/03/2016', 'status': 'válido'}
{'nome': 'Otávio Peixoto', 'email': 'otavio.peixoto@gmail.com', 'cpf': '205.841.397-05', 'celular': '(21) 9679-03744', 'idade': '47', 'data_nascimento': '24/09/1974', 'data_cadastro': '29/05/2000', 'status': 'válido'}
{'nome': 'Pietra Novaes', 'email': 'pietra.novaes@gmail.com', 'cpf': '526.190.487-02', 'celular': '(81) 9276-38747', 'idade': '36', 'data_nascimento': '18/02/1986', 'data_cadastro': '26/07/2019', 'status': 'válido'}
{'nome': 'Nicolas Moura', 'email': 'nicolas.moura@gmail.com', 'cpf': '594.716.023-43', 'celular': '(31) 9077-72246', 'idade': '84', 'data_nascimento': '23/12/1937', 'data_cadastro': '07/12/1960', 'status': 'válido'}
{'nome': 'Otávio Porto', 'email': 'otavio.porto@gmail.com', 'cpf': '703.146.895-75', 'celular': '(51) 9167-79793', 'idade': '19', 'data_nascimento': '02/01/2003', 'data_cadastro': '28/03/2017', 'status': 'válido'}
{'nome': 'Laura Almeida', 'email': 'laura.almeida@gmail.com', 'cpf': '932.504.678-47', 'celular': '(81) 9454-74220', 'idade': '30', 'data_nascimento': '07/01/1992', 'data_cadastro': '18/04/2012', 'status': 'válido'}
{'nome': 'Clarice Gonçalves Nascimento', 'email': 'clarice.nascimento@gmail.com', 'cpf': '036.725.489-10', 'celular': '(11) 9493-82351', 'idade': '39', 'data_nascimento': '18/02/1983', 'data_cadastro': '20/07/1985', 'status': 'inválido', 'reason': ['Nome inválido: Clarice Gonçalves Nascimento - Correção: Precisa ter 25 ou menos caracteres']}
{'nome': 'Luiz Fernando das Neves', 'email': 'luiz.neves@gmail.com', 'cpf': '783.062.594-83', 'celular': '(41) 9912-66803', 'idade': '64', 'data_nascimento': '23/08/1957', 'data_cadastro': '25/05/1985', 'status': 'válido'}
{'nome': 'Manuela Cardoso', 'email': 'manuela.cardoso@gmail.com', 'cpf': '361.245.079-43', 'celular': '(51) 9253-70696', 'idade': '56', 'data_nascimento': '07/02/1966', 'data_cadastro': '30/01/2020', 'status': 'válido'}
{'nome': 'Davi Lucca Vieira', 'email': 'davi.vieira@gmail.com', 'cpf': '806.421.579-01', 'celular': '(21) 9983-74295', 'idade': '35', 'data_nascimento': '25/09/1986', 'data_cadastro': '02/06/2015', 'status': 'válido'}
{'nome': 'Bernardo Azevedo', 'email': 'bernardo.azevedo@gmail.com', 'cpf': '647.589.013-84', 'celular': '(41) 9034-31966', 'idade': '55', 'data_nascimento': '24/11/1966', 'data_cadastro': '31/01/2006', 'status': 'válido'}
{'nome': 'Olivia Peixoto', 'email': 'olivia.peixoto@gmail.com', 'cpf': '324.985.076-47', 'celular': '(31) 9387-68423', 'idade': '93', 'data_nascimento': '26/01/1929', 'data_cadastro': '06/11/1962', 'status': 'válido'}
{'nome': 'Alexandre Gomes', 'email': 'alexandre.gomes@gmail.com', 'cpf': '657.412.089-67', 'celular': '(31) 9020-43554', 'idade': '86', 'data_nascimento': '11/01/1936', 'data_cadastro': '13/02/1938', 'status': 'válido'}
{'nome': 'Isaac Azevedo', 'email': 'isaac.azevedo@gmail.com', 'cpf': '361.498.725-64', 'celular': '(61) 9743-41149', 'idade': '95', 'data_nascimento': '20/01/1927', 'data_cadastro': '09/08/1955', 'status': 'válido'}
{'nome': 'Ana Beatriz Lopes Melo', 'email': 'ana.melo@gmail.com', 'cpf': '596.278.401-49', 'celular': '(11) 9541-47451', 'idade': '41', 'data_nascimento': '14/03/1980', 'data_cadastro': '01/03/1982', 'status': 'válido'}
{'nome': 'Agatha Fernandes', 'email': 'agatha.fernandes@gmail.com', 'cpf': '283.941.567-46', 'celular': '(31) 9015-21374', 'idade': '77', 'data_nascimento': '31/10/1944', 'data_cadastro': '05/10/1949', 'status': 'válido'}
{'nome': 'Vicente Costela', 'email': 'vicente.costela@gmail.com', 'cpf': '358.170.692-02', 'celular': '(81) 9981-85950', 'idade': '44', 'data_nascimento': '26/03/1977', 'data_cadastro': '01/04/2013', 'status': 'válido'}
{'nome': 'Eloah Caldeira', 'email': 'eloah.caldeira@gmail.com', 'cpf': '758.034.691-57', 'celular': '(21) 9746-19418', 'idade': '83', 'data_nascimento': '24/10/1938', 'data_cadastro': '03/04/1972', 'status': 'válido'}
{'nome': 'Henrique da Conceição Jesus', 'email': 'henrique.jesus@gmail.com', 'cpf': '692.748.513-91', 'celular': '(51) 9277-89277', 'idade': '98', 'data_nascimento': '04/11/1923', 'data_cadastro': '05/12/1988', 'status': 'inválido', 'reason': ['Nome inválido: Henrique da Conceição Jesus - Correção: Precisa ter 25 ou menos caracteres']}
{'nome': 'Rafael Cavalcanti', 'email': 'rafael.cavalcanti@gmail.com', 'cpf': '907.423.561-16', 'celular': '(41) 9863-91341', 'idade': '43', 'data_nascimento': '26/03/1978', 'data_cadastro': '11/10/1985', 'status': 'válido'}
{'nome': 'Igor Dias', 'email': 'igor.dias@gmail.com', 'cpf': '297.016.583-02', 'celular': '(31) 9697-81725', 'idade': '99', 'data_nascimento': '19/05/1922', 'data_cadastro': '22/01/1951', 'status': 'válido'}
{'nome': 'Gabrielly da Rosa', 'email': 'gabrielly.rosa@gmail.com', 'cpf': '642.957.138-64', 'celular': '(31) 9747-63228', 'idade': '30', 'data_nascimento': '20/04/1991', 'data_cadastro': '30/10/1997', 'status': 'válido'}
{'nome': 'Heitor Ramos', 'email': 'heitor.ramos@gmail.com', 'cpf': '847.012.693-87', 'celular': '(11) 9397-73084', 'idade': '54', 'data_nascimento': '29/05/1967', 'data_cadastro': '30/03/1975', 'status': 'válido'}
